status,version,place,pokemon,target,number,date,startdate,method
Ongoing,Scarlet,Eggs,Sprigatito,,130,September 1st 2025,July 2025,
Ongoing,Scarlet,Eggs,Quaxly,,96,Setpember 1st 2025,July 2025,
On hold,Sapphire,Eggs,Zangoose,,,,,
On hold,Emerald,Sky Pillar,Rayquaza,,,,,Run
On hold,Platinum,Resort Area,Magikarp,,,,,Fishing
On hold,SoulSilver,Event Eggs,Manaphy,,,,,
On hold,HeartGold,Silph Corp.,"Treecko,Torchic,Mudkip",,,,,
On hold,Black2,Aspertia City,Snivy,,,,,
On hold,White2,Floccecy Ranch,"Mareep,Azurill,Riolu,Patrat,Lillipup,Pidove,Psyduck",Mareep,,,,
Ongoing,Omega Ruby,Battle Resort,Camerupt,,,,,
