Français,Anglais,Type
Rouge,Red,
Bleu,Blue,
Jaune,Yellow,
Vert,Green,
Or,Gold,
Argent,Silver,
Cristal,Crystal,
Rubis,Ruby,
Saphir,Sapphire,
Emeraude,Emerald,
Rouge-Feu,FireRed,
Vert-Feuille,LeafGreen,
Diamant,Diamond,
Perle,Pearl,
Platine,Platinum,
Or HeartGold,HeartGold,
Argent SoulSilver,SoulSilver,
Noir,Black,
Blanc,White,
Noir2,Black2,
Blanc2,White2,
X,X,
Y,Y,
Rubis Oméga,Omega Ruby,
Saphir Alpha,Alpha Sapphire,
Soleil,Sun,
Lune,Moon,
UltraSoleil,UltraSun,
UltraLune,UltraMoon,
Let's Go Evoli,Let's Go Eevee,
Let's Go Pikachu,Let's Go Pikachu,
Epée,Sword,
Bouclier,Shield,
Légendes : Arceus,Legends: Arceus,
Diamant Etincelant,Brilliant Diamond,
Perle Scintillante,Shining Pearl,
Ecarlate,Scarlet,
Violet,Violet,
Légendes : Z-A,Legends: ZA,
GO,GO,
Sleep,Sleep,
En cours,Ongoing,
En pause,On hold,
Oeuf,Egg,
Fuites,Run,
Pêche,Fishing,
Forme A,,
Forme B,,
Forme C,,
Forme D,,
Forme E,,
Forme F,,
Forme G,,
Forme H,,
Forme I,,
Forme J,,
Forme K,,
Forme L,,
Forme M,,
Forme N,,
Forme O,,
Forme P,,
Forme Q,,
Forme R,,
Forme S,,
Forme T,,
Forme U,,
Forme V,,
Forme W,,
Forme X,,
Forme Y,,
Forme Z,,
Forme !,,
Forme ?,? Form,
Motif Blizzard,Icy Snow Pattern,
Motif Banquise,Polar Pattern,
Motif Glace,Tundra Pattern,
Motif Continent,Continental Pattern,
Motif Verdure,Garden Pattern,
Motif Monarchie,Elegant Pattern,
Motif Floraison,Meadow Pattern,
Motif Métropole,Modern Pattern,
Motif Rivage,Marine Pattern,
Motif Archipel,Archipelago Pattern,
Motif Sécheresse,High Plains Pattern,
Motif Sable,Sandstorm Pattern,
Motif Delta,River Pattern,
Motif Cyclone,Monsoon Pattern,
Motif Mangrove,Savanna Pattern,
Motif Zénith,Sun Pattern,
Motif Soleil Levant,Ocean Pattern,
Motif Jungle,Jungle Pattern,
Motif Fantasie,Fancy Pattern,
Motif Poké Ball,Poké Ball Pattern,
Forme d'Alola,Alolan Form,
Forme de Galar,Galarian Form,
Forme de Hisui,Hisuian Form,
Forme de Paldea,Paldea Form,
Oui,Yes,
Aléatoire,Random,
Oeufs Masuda,Masuda Eggs,
Poké Radar,Poké Radar,
Poké Radar Taux Plein,Full Rate Poké Radar,
Charme Chroma,Shiny Charm,
