Version,Dresseur,ID,SID,Début de Partie,Pokémon 1,Genre,Surnom,Pokémon 2,Genre,Surnom,Pokémon 3,Genre,Surnom,Pokémon 4,Genre,Surnom,Pokémon 5,Genre,Surnom,Pokémon 6,Genre,Surnom
Rouge,Richard,1,,,Reptincel,,Asbel,Roucarnage,,Pascal,Tartard,,Malik,Arbok,,Sophie,Grodoudou,,Cheria,Parasect,,Hubert
Bleu,,,,,Carabaffe,,,Alakazam,,,Mélodelfe,,,Scarabrute,,,Dracolosse,,,Porygon,,
Jaune,Kaoru,1,,,Pikachu,,Chizuru,Florizarre,,Chikage,Dracaufeu,,Amagiri,Tortank,,Shiranui,Rhinoféros,,Kodo,Leveinard,,Sei
Or,Gaius,14718,,,Typhlosion,M,Erston,Cornèbre,,,Lanturn,,,Migalos,,,Azumarill,,,Simularbre,,
Argent,Wingul,48374,,,Meganium,M,Li Ying,Togetic,M,Kewell,Hypnomade,M,Lelouch,Dardargnan,,,Aquali,,,Metamorph,,
Argent,Abraham,61527,,,Typhlosion,F,Cardia,Fouinar,M,Arsène,Maraiste,,Impey,Tyranocif,,Van,Xatu,,Saint,Cotovol,,Fran
Cristal,Presa,35542,,,Aligatueur,M,Mist,Noarfang,M,Nosama,Tarpaud,F,Titine,Rattatac,M,Ratkun,Coxyclaque,M,Ox,Insolourdo,M,Sol
Rubis,Athos,12692,27364,,Laggron,M,Grimaud,Papinox,F,Milady,Heledelle,M,Porthos,Gloupti,F,Cho,Machoc,F,Deela,Zigzaton,F,Clarissa
Saphir,MARINE,44535,,,,,,,,,,,,,,,,,,,,
Saphir,Ukyo,50165,08000,,Braségali,F,Chamo,Linéon,F,Cardia,Ninjask,F,Fiona,Bekipan,F,Lucia,Gardevoir,F,Kyoko,Galeking,F,Yui
Émeraude,Yesod,34513,57586,,Laggron,M,Lagkun,Élecsprint,M,Ouji-sama,Tropius,F,Tropicana,Kadabra,F,Katsumi,Grahyèna,M,Grah-kun,Volcaropod,F,Atatakai
Émeraude,Maelle,53792,,,Jungko,F,Dara,,,,,,,,,,,,,,,
Rouge-Feu,Kamui,08475,,,Dracaufeu,F,Karen,Lokhlass,M,Fye,Evoli,M,Kakyou,Papilusion,M,Subaru,Raichu,M,Sorata,Canarticho,M,PTICHO
Vert-Feuille,Rose,20848,,,Dracaufeu,M,Sôji,Rapasdepic,F,Kimigiku,Nidoking,M,Shinpachi,Nidoqueen,F,Nido-Chan,Léviator,M,Koinobori,Persian,M,Mejojo
Diamant,Konata,17220,,,,,,,,,,,,,,,,,,,,
Platine,Mithos,35852,,,,,,,,,,,,,,,,,,,,
Or HeartGold,Rita,49663,,,,,,,,,,,,,,,,,,,,
Argent SoulSilver,Yesod,18305,,,,,,,,,,,,,,,,,,,,
Argent SoulSilver,Shu,1,,,Aligatueur,F,Lulu,Nostenfer,M,Kino,Empiflor,M,Laito,Zarbi,,Kanato,Pharamp,M,Yuma,Feunard,M,Kou
Noir,Yesod,09561,,,,,,,,,,,,,,,,,,,,
Noir,カンベエ,11672,,,,,,,,,,,,,,,,,,,,
Blanc,Yesod,51883,,,,,,,,,,,,,,,,,,,,
Blanc,Shuuan,45351,,,,,,,,,,,,,,,,,,,,
Blanc2,Asch,61787,,,,,,,,,,,,,,,,,,,,
Blanc2,ハンベエ,42866,,,,,,,,,,,,,,,,,,,,
X,Peony,65275,,,Goupelin,F,Chesedonia,Flambusard,,,,,,,,,,,,,,
X,Peony,63361,,,,,,,,,,,,,,,,,,,,
X,Peony,49251,,,,,,,,,,,,,,,,,,,,
X,Peony,07807,,,,,,,,,,,,,,,,,,,,
Y,Nephry,62629,,,Blindepique,M,Engeve,Prismillon,,,Carapuce,,,Florges,,,Sonistrelle,,,Mistigrix,,
Y,Jade,51536,,,,,,,,,,,,,,,,,,,,
Rubis Omega,Milla,22814,,,,,,,,,,,,,,,,,,,,
Soleil,Kou,524656,0759,,Flamiaou,M,Azusa,Plumeline,M,Ruki,Lougaroc,M,Yuma,Mimiqui,M,Kino,Meteno,,Karlheinz,Goupix d'Alola,M,Carla
Ultra Lune,Futaba,1,,,Archéduc,M,Akechi,Zoroark,M,Yusuke,Bazoucan,M,Ren,Rubombelle,,,Bryuverne,,,Drattak,,
Let's Go Evoli,Mutsumi,432115,,02/07/2026,Évoli,F,Abondance,Roucool,F,Mazan,Rattata,F,Pierre-Vire,Chétiflor,M,Angors,Nidoran♂,M,Vic-Bilh,Piafabec,M,Clément
Bouclier,Mika,670408,,,Pyrobut,F,Garnet,Corvaillus,F,Ceres,Roublenard,F,Tingyun,Moumouflon,F,Elena,Hastacuda,F,Sally,Polthégheist,,Kocha
Diamant Étincelant,Vil,1,,,Pingoléon,F,Neige,Roserade,M,Pollen,Gallame,M,,Grodrive,M,Hélium,Ceriflor,F,Cerise,Apireine,F,Miel
Légendes : Arceus,Soichi,045036,,,Typhlosion,M,Shiki,Luxray,M,Charles,Nymphali,M,Feo Ul,Galopa,F,Fufucha,Grodrive,,,,,
Écarlate,Ayato,516057,,,Miascarade,M,Lucas,Pohmarmotte,M,Adolphe,Briochien,M,Yves,Fulgulairo,M,Ankou,Oyacata,M,Scien,Nigirigon,M,Mathis
Violet,Valerie,845326,,,Flâmigator,F,Caliste,Fragroin,,,Filentrappe,,,,,,,,,,,
Violet,Teuta,1,,,Palmaval,,,Germéclat,,,Pomdorochi,,,Gigansel,,,Cléopsytra,,,Tomberro,,
