number,title,idea,gold,silver,crystal,ruby,sapphire,emerald,firered,leafgreen,diamond,pearl,platinum,heartgold,soulsilver,black,white,black2,white2,x,y,omegaruby,alphasapphire,sun,moon,ultrasun,ultramoon,letsgopikachu,letsgoeevee,sword,shield,brilliantdiamond,shiningpearl,legendsarceus,scarlet,violet,legendsza
001,Ransei Warlord’s Pokémon,Obtain the Shiny version of every Pokémon associated with the characters of Pokémon Conquest.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
002,Amber Genealogy,"The Chronicles of Amber being my favourite literary series, the idea is to get a Shiny Pokémon representing each member of the genealogy.
There’s no real logic behind the choice of the Pokémon.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
003,You Are My Everest,Hunting some Pokémon that needs great patience,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,,,,,,,,X,X,,,,
004,Safari Zone,Obtain all Pokémon from Safari Zone and Great Marsh in Shiny form.,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,
005,Honey Tree,Get Shiny Pokémon from Honey Trees.,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,X,X,,,,
006,Starters,Obtain the three starters of all game sets in Shiny version.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X
007,Fossils,Get all fossils Pokémon into Shiny by reviving them.,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
008,Hidden Abilities,Get all Pokémon with Hidden Ability in Shiny.,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X
009,Unown Keyboard,Get all Unown form in Shiny. They will be named with their Unown Report value.,X,X,X,,,,X,X,X,X,X,X,X,,,,,,,X,X,,,,,,,,,X,X,,,,
010,Legends,Obtain all available Legendary and Mythical Pokémon in Shiny.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
