project,category,column1,column2,column3,,
001,,Oichi,"Jigglypuff,Wigglytuff",,,
001,,Mitsunari,"Scizor,Pawniard,Bisharp",,,
001,,Kiyomasa,"Larvitar,Fraxure,Haxorus",,,
001,,Masanori,"Skorupi,Krokorok,Krookodile",,,
001,,Motochika,"Oshawott,Dewott,Samurott",,,
001,,Motonari,"Snivy,Servine,Serperior",,,
001,,Hideyoshi,"Chimchar,Monferno,Infernape,Reshiram",,,
001,,Hanbei,"Mareep,Pikachu,Raichu",,,
001,,Kanbei,"Duskull,Lampent,Chandelure",,,
001,,Ginchiyo,"Shinx,Luxio,Luxray",,,
001,,Muneshige,"Starly,Staravia,Staraptor",,,
001,,Yoshimoto,"Pineco,Forretress",,,
001,,Yoshihiro,"Gurdurr,Conkeldurr",,,
001,,Shingen,"Rhyperior,Groudon",,,
001,,Yukimura,"Tepig,Charmeleon,Charizard",,,
001,,Kunoichi,"Scraggy,Sneasel,Weavile",,,
001,,Ieyasu,"Lairon,Aggron,Registeel",,,
001,,Tadakatsu,"Steelix,Metagross,Dialga",,,
001,,Ina,"Quagsire,Prinplup,Empoleon",,,
001,,Kenshin,"Gallade,Mewtwo",,,
001,,Aya,"Cubchoo,Snorunt,Froslass",,,
001,,Kanetsugu,"Kirlia,Kadabra,Alakazam",,,
001,,Kotaro,"Deino,Zorua,Zoroark",,,
001,,Keiji,"Rhyhorn,Bastiodon,Terrakion",,,
001,,Nene,"Zubat,Golbat,Crobat",,,
001,,Hanzo,"Spiritomb,Haunter,Gengar",,,
001,,Ujiyasu,"Roggenrola,Boldore,Gigalith",,,
001,,Kai,"Pansear,Darumaka,Darmanitan",,,
001,,Masamune,"Scyther,Rufflet,Braviary",,,
001,,Magoichi,"Carnivine,Grovyle,Sceptile",,,
001,,No,"Misdreavus,Mismagius",,,
001,,Okuni,"Venipede,Larvesta,Volcarona",,,
001,,Mitsuhide,"Lapras,Articuno",,,
001,,Gracia,"Munna,Gothorita,Gothitelle",,,
001,,Nobunaga,"Gabite,Hydreigon,Zekrom,Rayquaza",,,
001,,Ranmaru,"Dratini,Riolu,Lucario",,,
002,,Dworkin,Ditto,,,
002,,The Unicorn,Rapidash,,,
002,,Oberon,,,,
002,,Cymnea,,,,
002,,Benedict,,,,
002,,Lintra,,,,
002,,Dara,,,,
002,,Sawal,,,,
002,,Jurt,,,,
002,,Despil,,,,
002,,Mandor,,,,
002,,Osric,,,,
002,,Finndo,,,,
002,,Faiella,,,,
002,,Eric,,,,
002,,Corwin,,,,
002,,Merlin,,,,
002,,Deirdre,,,,
002,,Clarissa,,,,
002,,Fiona,,,,
002,,Bleys,,,,
002,,Brand,,,,
002,,Jasra,,,,
002,,Rinaldo,,,,
002,,Llewella,,,,
002,,Riga,,,,
002,,Caine,,,,
002,,Flora,Lillipup,,,
002,,Julian,Liepard,,,
002,,Gerard,Poliwrath,,,
002,,Random,,,,
002,,Morganthe,,,,
002,,Martin,Farfetch’d,,,
002,,Harla,,,,
002,,Delwin,,,,
002,,Sand,,,,
002,,Deela,,,,
002,,Dalt,,,,
002,,Kinta,,,,
002,,Corail,Corsola,,,
003,,Raikou,"Gold, Silver, Crystal",> Roaming,,
003,,Entei,"Gold, Silver, Crystal",> Roaming,,
003,,Suicune,"Gold, Silver",> Roaming,,
003,,Feebas,"Ruby, Sapphire, Emerald",> 6 Fishing Spots out of 436,,
003,,Wynaut,"Ruby, Sapphire, Emerald",> Mirage Island,,
003,,Latias,Sapphire,> Roaming,,
003,,Latios,Ruby,> Roaming,,
003,,Raikou,"FireRed, LeafGreen",> Roaming,,
003,,Entei,"FireRed, LeafGreen",> Roaming,,
003,,Suicune,"FireRed, LeafGreen",> Roaming,,
003,,Feebas,"Diamond, Pearl, Platinum","> 4 Fishing Spots out of 528
> Spots changing everyday",,
003,,Mesprit,"Diamond, Pearl, Platinum",> Roaming,,
003,,Cresselia,"Diamon, Pearl, Platinum",> Roaming,,
003,,Magikarp,Platinum,"> Resort Area
> Super Rod
> Level 100
> Pressure",,
003,,Articuno,Platinum,> Roaming,,
003,,Zapdos,Platinum,> Roaming,,
003,,Moltres,Platinum,> Roaming,,
003,,Raikou,"HeartGold, SoulSilver",> Roaming,,
003,,Entei,"HeartGold, SoulSilver",> Roaming,,
003,,Dialga,"HeartGold, SoulSilver","> Sinjoh Ruins
> Over 3 minutes per reset",,
003,,Palkia,"HeartGold, SoulSilver","> Sinjoh Ruins
> Over 3 minutes per reset",,
003,,Giratina,"HeartGold, SoulSilver","> Sinjoh Ruins
> Over 3 minutes per reset",,
003,,Latias,HeartGold,> Roaming,,
003,,Latios,SoulSilver,> Roaming,,
003,,Manaphy,"Diamong, Pearl, Platinum, HeartGold, SoulSilver","> Egg from Pokémon Ranger
> Need to trade before hatching",,
003,,Dragonite,"Black, White, Black2, White2","> Dragonspiral Tower
> Fishing
> Rippling Water",,
004,"Pokémon Ruby, Sapphire, Emerald",Pikachu,"Area 1, 2",,,
004,"Pokémon Ruby, Sapphire, Emerald",Oddish,"Area 1, 2, 3, 4",,,
004,"Pokémon Ruby, Sapphire, Emerald",Gloom,"Area 1, 2, 3, 4",,,
004,"Pokémon Ruby, Sapphire, Emerald",Psyduck,"Area 2, 3 surfing",,,
004,"Pokémon Ruby, Sapphire, Emerald",Golduck,Area 3 surfing,,,
004,"Pokémon Ruby, Sapphire, Emerald",Geodude,Area 4 rocksmash,,,
004,"Pokémon Ruby, Sapphire, Emerald",Doduo,"Area 1, 2, 3",,,
004,"Pokémon Ruby, Sapphire, Emerald",Dodrio,Area 3,,,
004,"Pokémon Ruby, Sapphire, Emerald",Rhyhorn,Area 3,,,
004,"Pokémon Ruby, Sapphire, Emerald",Goldeen,"Area 2, 3, 5 fishing",,,
004,"Pokémon Ruby, Sapphire, Emerald",Seaking,"Area 2, 3 fishing",,,
004,"Pokémon Ruby, Sapphire, Emerald",Pinsir,Area 3,,,
004,"Pokémon Ruby, Sapphire, Emerald",Magikarp,"Area 2, 3, 5 fishing",,,
004,"Pokémon Ruby, Sapphire, Emerald",Natu,"Area 1, 2",,,
004,"Pokémon Ruby, Sapphire, Emerald",Xatu,Area 4,,,
004,"Pokémon Ruby, Sapphire, Emerald",Wobbuffet,"Area 1, 2",,,
004,"Pokémon Ruby, Sapphire, Emerald",Girafarig,"Area 1, 2",,,
004,"Pokémon Ruby, Sapphire, Emerald",Heracross,Area 4,,,
004,"Pokémon Ruby, Sapphire, Emerald",Phanpy,Area 4,,,
004,Pokémon Emerald,Hoothoot,"Area 5, 6",,,
004,Pokémon Emerald,Ledyba,Area 6,,,
004,Pokémon Emerald,Spinarak,Area 5,,,
004,Pokémon Emerald,Mareep,Area 5,,,
004,Pokémon Emerald,Marill,Area 5 surfing,,,
004,Pokémon Emerald,Aipom,"Area 5, 6",,,
004,Pokémon Emerald,Sunkern,"Area 5, 6",,,
004,Pokémon Emerald,Wooper,Area 5 surfing,,,
004,Pokémon Emerald,Quagsire,Area 5 surfing,,,
004,Pokémon Emerald,Pineco,Area 6,,,
004,Pokémon Emerald,Gligar,Area 5,,,
004,Pokémon Emerald,Snubbull,Area 5,,,
004,Pokémon Emerald,Shuckle,Area 6 rocksmash,,,
