Status,Version,Lieu,Pokémon,Cible,Méthode,Date de début,Compte,Dernier Compte
En cours,Ecarlate,Oeuf,Poussacha,,,07/2025,503,16/06/2025
En cours,Ecarlate,Oeuf,Coiffeton,,,07/2025,449,16/06/2025
En pause,Saphir,Oeuf,Mangriff,,,,,
En pause,Emeraude,Pilier Céleste,Rayquaza,,Fuites,,,
En pause,Platine,Aire de Détente,Magicarpe,,Pêche,,,
En pause,Argent SoulSilver,Oeuf,Manaphy,,,,,
En pause,Or HeartGold,Sylphe SARL,"Arcko,Poussifeu,Gobou",,,,,
En pause,Noir2,Pavonnay,Vipélierre,,,,,
En pause,Blanc2,Ranch d'Amaillide,"Wattouat,Azurill,Riolu,Ratentif,Ponchiot,Poichigeon,Psykokwak",Wattouat,,,,
En cours,Rubis Oméga,Atoll de Combat,Camérupt,,,,626,06/07/2026
